Age,Attrition,BusinessTravel,DailyRate,Department_x,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole_x,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Name,Department_y,JobRole_y,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,Madhav Kara,HR,Recruitment Specialist,94,68.65,81.06,4.0,98.48,51,4.4,18,Yes
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,Pari Batta,IT,Cybersecurity Specialist,70,66.04,79.06,4.9,92.33,48,3.0,30,No
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,Chirag Bassi,Finance,Auditor,74,74.74,86.4,4.7,75.16,40,4.3,13,No
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,Jayant Dixit,Sales,Account Manager,75,63.95,80.49,4.1,82.45,42,3.2,4,No
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,Kismat Dora,Sales,Account Manager,83,64.87,79.25,3.4,84.48,54,3.7,6,No
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,Lakshit Lanka,IT,Software Engineer,81,82.16,94.82,4.9,87.0,36,3.0,9,No
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,Vidur Mani,Finance,Accountant,52,91.38,76.3,4.2,90.17,49,3.7,19,No
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,Anahita Ratti,Marketing,SEO Specialist,66,72.15,89.63,3.7,79.63,49,4.6,30,No
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Sumer Mallick,Finance,Financial Analyst,68,80.43,90.09,4.8,84.64,51,3.9,12,No
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,Aaina Swaminathan,Finance,Financial Analyst,90,82.5,80.84,4.1,90.53,49,4.6,1,Yes
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,Nitara Saha,Sales,Sales Executive,77,70.93,94.01,4.2,96.69,53,4.1,8,No
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,Yuvraj  Kota,Marketing,SEO Specialist,52,89.09,95.21,3.8,74.09,55,4.0,13,No
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,Uthkarsh Bhakta,IT,Cybersecurity Specialist,95,63.18,98.11,4.7,98.39,36,3.3,30,No
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,Hiran Sharma,HR,Recruitment Specialist,97,73.85,89.07,4.1,98.64,53,3.2,1,No
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,Rhea Handa,Finance,Financial Analyst,68,92.79,77.28,4.1,96.44,51,4.4,3,No
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Lakshay Rout,HR,HR Manager,86,94.22,92.13,3.8,94.42,45,4.7,17,Yes
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,Ishita Dhillon,Marketing,Marketing Executive,70,64.1,85.82,4.9,79.79,53,3.4,11,No
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,Hazel Choudhary,HR,Recruitment Specialist,96,76.86,78.28,4.5,98.51,41,3.5,23,No
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,Eva Khanna,Marketing,Marketing Executive,82,65.76,95.83,3.2,88.84,55,4.0,28,No
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,Mishti Krishnan,IT,Software Engineer,88,62.97,81.47,3.8,74.39,36,3.4,3,No
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,Kiaan Dutta,IT,Cybersecurity Specialist,73,91.15,90.92,4.7,85.23,52,4.8,19,No
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,Onkar Rama,HR,HR Manager,66,94.05,83.04,3.8,85.8,46,4.2,17,No
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,Mishti Chacko,IT,Cybersecurity Specialist,73,94.97,96.7,3.5,81.31,39,3.8,7,No
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,Shaan Basu,HR,HR Manager,97,79.07,86.59,3.1,90.24,39,4.2,27,Yes
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,Alia Sidhu,Sales,Business Development,89,77.14,99.3,4.9,84.05,38,3.4,15,No
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,Rohan Bala,Finance,Accountant,97,76.97,95.4,3.5,70.93,48,4.2,15,Yes
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,Nishith Koshy,IT,Data Analyst,64,84.34,97.17,3.3,92.24,46,4.9,26,No
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,Nishith Kibe,Finance,Financial Analyst,75,74.44,87.56,4.2,85.01,50,3.5,27,No
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,Badal Mani,HR,Employee Relations,65,64.87,90.97,3.2,86.54,50,4.6,17,No
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,Devansh Chander,Finance,Auditor,50,92.85,75.92,3.1,95.35,52,3.8,6,No
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,Kiaan Goswami,IT,Cybersecurity Specialist,69,71.13,96.81,4.8,75.48,48,4.8,5,No
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,Vritika Kala,Sales,Account Manager,51,79.04,76.3,3.5,87.92,53,3.5,8,No
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,Mahika Saxena,Marketing,Marketing Executive,55,71.99,98.29,4.9,97.9,37,3.6,25,No
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,Kavya Shah,HR,Employee Relations,56,75.28,76.55,4.3,95.42,41,3.1,30,No
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,Pari Zacharia,HR,Employee Relations,62,75.99,83.45,5.0,94.67,39,4.9,14,No
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,Ira Iyengar,HR,HR Manager,69,89.6,77.11,4.9,89.4,45,4.9,16,No
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,Tanya Taneja,Finance,Financial Analyst,100,86.58,75.08,3.6,70.37,50,4.0,3,No
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,Tiya Mannan,Sales,Account Manager,99,70.02,79.34,3.4,96.43,38,3.4,14,No
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,Vritika Verma,Marketing,Content Strategist,52,66.63,91.34,3.2,99.5,43,4.8,8,No
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,Heer Kale,Finance,Accountant,87,81.62,75.18,3.9,87.27,46,4.2,4,Yes
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,Shanaya Krishnan,Finance,Financial Analyst,69,60.63,90.4,4.3,89.77,51,3.9,17,No
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Anya Wadhwa,Finance,Auditor,60,87.52,97.52,3.9,70.66,51,4.6,8,No
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,Devansh Tandon,Marketing,Marketing Executive,66,73.3,82.1,3.8,81.2,38,4.4,2,No
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,Vritika Walla,Sales,Account Manager,65,93.11,84.62,4.3,91.25,39,3.7,13,No
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,Mohanlal Kari,Marketing,SEO Specialist,77,73.74,88.29,3.3,99.22,42,4.1,13,No
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,Kiaan Bora,Marketing,Content Strategist,86,79.1,98.03,4.0,99.26,52,4.1,22,Yes
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,Siya Ramakrishnan,HR,Recruitment Specialist,83,91.48,96.91,4.8,97.58,49,3.4,14,No
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,Kaira Golla,Finance,Accountant,92,72.69,99.03,4.1,98.73,54,4.5,10,Yes
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,Aarna Saxena,IT,Software Engineer,71,62.39,75.49,4.6,80.84,38,3.1,5,No
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,Siya Brar,Finance,Auditor,53,61.01,93.18,4.7,84.28,50,3.2,12,No
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,Jayan Bora,Sales,Account Manager,75,69.36,87.12,4.8,82.27,44,4.4,0,No
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,Seher Hora,IT,Data Analyst,73,88.58,78.42,3.8,72.05,52,4.8,16,No
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,Anahi Bakshi,Marketing,Content Strategist,83,86.51,78.79,4.9,99.48,43,4.2,19,No
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,Nitara Dhaliwal,Finance,Financial Analyst,67,62.85,76.6,3.8,71.82,52,3.2,24,No
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,Lakshit Kibe,HR,Recruitment Specialist,85,73.57,85.75,3.8,71.09,51,3.9,2,No
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,Pihu Sane,Marketing,SEO Specialist,64,79.48,98.75,4.6,89.46,44,4.0,21,No
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,Aaryahi Krishna,Finance,Accountant,92,89.37,95.72,4.8,70.93,45,3.9,3,No
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,Divit Kata,Sales,Business Development,52,60.46,92.52,4.6,87.16,49,3.5,18,No
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,Saanvi Chatterjee,Sales,Business Development,58,66.35,77.4,3.9,71.62,42,4.0,15,No
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,Baiju Chaudhuri,Marketing,Content Strategist,61,84.44,84.67,4.6,79.94,44,3.4,20,No
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,Lakshay Seshadri,HR,Employee Relations,69,73.67,89.24,4.3,72.27,41,3.3,16,No
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,Hridaan Gour,Finance,Accountant,73,73.41,95.83,4.0,97.73,37,3.7,18,No
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,Darshit Baral,HR,HR Manager,91,93.43,88.25,4.4,97.58,50,3.6,19,No
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,Miraya Mani,IT,Software Engineer,89,92.41,96.04,3.5,93.89,44,3.7,7,No
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Vivaan Shan,Marketing,Marketing Executive,100,76.05,83.95,4.1,73.2,50,4.1,23,Yes
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,Mamooty Bakshi,Finance,Accountant,59,61.11,78.26,3.0,96.55,35,3.1,12,No
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,Jivika Bhalla,HR,Recruitment Specialist,60,92.2,96.47,4.0,99.65,45,4.3,29,No
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,Divyansh Goyal,Sales,Account Manager,68,91.06,84.69,3.5,76.79,46,3.2,13,No
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,Bhavin Setty,HR,Recruitment Specialist,65,67.41,94.3,4.4,79.77,47,3.0,30,No
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,Yuvaan Mani,Sales,Business Development,68,79.92,99.5,4.6,82.04,54,3.4,11,No
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,Advik Sinha,Marketing,Marketing Executive,85,93.7,77.04,3.1,70.18,48,4.6,26,No
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,Devansh Kothari,HR,Employee Relations,100,92.56,93.63,4.0,94.87,50,3.8,2,No
